,MAX MINT FOR PARTNERSHIP ORB IS 3,UWU ORB,KGF ORB,LAMP ORB,KAIJU ORB,CAPS ORB,ASUNA ORB,MURI ORB,HAUS ORB,*SORTED BY GOOGLE SHEETS COLUMN RANGE OF ORBS
1,0x06E79Eb8b6E7Ca0aCc76aa51301a604197ffceff,0,0,0,0,0,0,0,1,
1,0x8bA17d57B5d78cbE4B8Df416346f06de95d353Ea,0,0,0,0,0,0,0,1,Qinzz#0034
1,0x3822881D61803AF91a95847ad20B1bF20A5671B2,0,0,0,0,0,0,0,1,ctq#8807
1,0x04C491b935464926b33CcB3C9B598Ef1CE95265D,0,0,0,0,0,0,0,1,Mudaxen#9689
1,0xe09EF242b19C23cbEdc0639d08B1D0889944eF6A,0,0,0,0,0,0,0,1,
1,0x7Ef1f7bF886385447971c43f835a2DB147e7D928,0,0,0,0,0,0,0,1,majimeYH#7655
1,0x55fe358502BeFB08103a13E5d921Cf2812ef63F3,0,0,0,0,0,0,0,1,kai#7331
1,0x4B5F0eAbd5E03778e3d034CA2C8ceEe3301da505,0,0,0,0,0,0,0,1,RAN#8888
1,0x10970aF175BA6840E55035216Fb3b1Bf902CdF8f,0,0,0,0,0,0,0,1,Kasper#0002
1,0x6417d5c90880a09ca76d246149c2bde57a414c1e,0,0,0,0,0,0,0,1,
1,0x1ede88dfaec7b096da71114e439bb553e6d8e8b6,0,0,0,0,0,0,0,1,
1,0x7d8670148726a6b72a9eb5a8a07381e660269223,0,0,0,0,0,0,0,1,
1,0x50dd931000303897b83657a5fa73a6578345e880,0,0,0,0,0,0,0,1,
1,0x990d26e3e66528203e2d3a5c038089f5880f6344,0,0,0,0,0,0,0,1,
1,0x93a77335c6d7906144900f11aae299bfedf4b604,0,0,0,0,0,0,0,1,
1,0xc8ed349529bab23ac6c726693623cefa2e31ed98,0,0,0,0,0,0,0,1,
1,0x3f042c04ac345b8d356979224b1ed06aa85198f4,0,0,0,0,0,0,0,1,
1,0xf68464c51abaf30da43a6b7ca69dd48a2b28e128,0,0,0,0,0,0,0,1,
1,0x6b7fcefbf6c2be8f9b3d5ca87fe136732967421b,0,0,0,0,0,0,0,1,
1,0x63307b08b5085207fb8811a11979bd71b7af5e61,0,0,0,0,0,0,0,1,
1,0xd7b5bdfc0757b599e3a875735fc10cb6df939c57,0,0,0,0,0,0,0,1,
1,0x11fbe2cc607472441a78479f99f507c8a0646429,0,0,0,0,0,0,0,1,
1,0xa383ce5e6e3b4f82cae3fa14e664c0a8fa713fbe,0,0,0,0,0,0,0,1,
1,0x22841e18784c409a0e2a85e1c203811df6cac330,0,0,0,0,0,0,0,1,
1,0x1392cdf6637afffaed30005c6169db0847f8330a,0,0,0,0,0,0,0,1,
1,0xda41ea646e032b4e0617e02707f625da018b13d4,0,0,0,0,0,0,0,1,
1,0xf34b5b1231777f8e805688b8bbfc4774bf9b9bd7,0,0,0,0,0,0,0,1,
1,0x1b13bd091db3d83ea8c48cef58b95859677242ca,0,0,0,0,0,0,0,1,
1,0xb74642259ebd54e38f8b6bdcc98fa23d9c631aab,0,0,0,0,0,0,0,1,
1,0xb437aed05c4d24423df0c284a0ce7603d9d11473,0,0,0,0,0,0,0,1,
1,0xac5f1c6cd153d303a442ff93b60521750b3890d4,0,0,0,0,0,0,0,1,
1,0x39338bc516d51af6656c3d971543f88cea6e73b6,0,0,0,0,0,0,0,1,
1,0x057d1e845402b371eb793135f877966b47577e28,0,0,0,0,0,0,0,1,
1,0x48770D1600ED135D3F6BA6F5163EAA328a565C52,0,0,0,0,0,0,0,1,
1,0xc580f20689d1eb1cb20f2ab8fc291c3a000f0472,0,0,0,0,0,0,0,1,
1,0x54211140f7427155a535fbb6dbdaf9ff53033df6,0,0,0,0,0,0,0,1,
1,0xad05dda336ad5f3d105224be31cd7c31312a3653,0,0,0,0,0,0,0,1,
1,0x509298a25817bd7bd2a3d9ca4f27f3e889aba67c,0,0,0,0,0,0,0,1,
1,0x066d662873dd0bf8ae6c7df04dd962c345ba2c51,0,0,0,0,0,0,0,1,
1,0xadf389d544b17a06c08820dacfba0130b4eab754,0,0,0,0,0,0,0,1,
1,0x31be6c2e0753cd72cf59d34b9d25eab98cafc82f,0,0,0,0,0,0,0,1,
1,0x85026596042cf8cab1b521bcca86c56cf2d2ecae,0,0,0,0,0,0,0,1,
1,0xe4fb80608e05ecdbd79224c66646a5e2400da595,0,0,0,0,0,0,0,1,
1,0x22ed278b6202d27d53d44d659f016e35f6c9a086,0,0,0,0,0,0,0,1,
1,0x313d3e602d26191e7f69b0b1a7a68fe23938d3f8,0,0,0,0,0,0,0,1,
1,0x3ff24d95063795efe68e02c30be758783cf9accb,0,0,0,0,0,0,0,1,
1,0x0058b4f780be1d6351431ed46fe80ecb8baf4972,0,0,0,0,0,0,0,1,
1,0x7e440617f2d6a24d9befb5f65a5999592db3aa06,0,0,0,0,0,0,0,1,
1,0x25d78c2a41ca21fe705b3586b119c6f84e5d9d92,0,0,0,0,0,0,0,1,
1,0x422fb308a88bf1f0e739bede2ede91264fcd12ca,0,0,0,0,0,0,0,1,
1,0xace63a87cc52e986511562df25360c7b873c9f51,0,0,0,0,0,0,0,1,
1,0x66afeaac9b875f765aa9b62426f51cbda2cd9213,0,0,0,0,0,0,0,1,
1,0x4Ce33E36df4161f62D6F7B427cc140A456B40B80,0,0,0,0,0,0,0,1,
1,0x16bde61314dc8a4ae4a0cdcc9e9d3ca070b64a9f,0,0,0,0,0,0,0,1,
1,0x5dd1ae4131d932145ff17ef13372997e6c408579,0,0,0,0,0,0,0,1,
1,0x7094349f72865fb53038651bd0c6c0284dbdb861,0,0,0,0,0,0,0,1,
1,0xfa86864124c15a106fe185400eeeaf0f4502c081,0,0,0,0,0,0,0,1,
1,0x13ee4fb695d404bb999d391432bf7b5572acb674,0,0,0,0,0,0,0,1,
1,0x8a274d7d720e5fcc1b8347e5cf34c7ef61970007,0,0,0,0,0,0,0,1,
1,0x1e2225a5fad1da5545f14a4cf0c462604269cf1a,0,0,0,0,0,0,0,1,
1,0x8210e476d9af3c31bc453a3c09a90c04d8e5d3a1,0,0,0,0,0,0,0,1,
1,0x19694868cb9fc8435ef794545c7332915ec43330,0,0,0,0,0,0,0,1,
1,0xda8a1f2511ed84a28e16d885baac8532b34d1742,0,0,0,0,0,0,0,1,
1,0x90ca447f2d2b6f3092ded49a81f24f15305145c3,0,0,0,0,0,0,0,1,
1,0x2dccbffb389576d2da4e9b71a9016e213bbd5ec7,0,0,0,0,0,0,0,1,
1,0x596d6e685bd2558f779fffaabc8962e8ded3957d,0,0,0,0,0,0,0,1,
1,0xc4e3391d822c75d78becece387b3a08b3f284897,0,0,0,0,0,0,0,1,
1,0xcba1e834111512c6bece4d2478b75831dbc2d01a,0,0,0,0,0,0,0,1,
1,0x401b424f858e69a061ccfeabc6bcca6c7e5c2896,0,0,0,0,0,0,0,1,
1,0x8ffbfb1a9796f42900a15e82ca239b395b167d3e,0,0,0,0,0,0,0,1,
1,0xee3f894ad5ccb39743fd2e1f4923dd87a119ee3b,0,0,0,0,0,0,0,1,
1,0xe04014e7812bf6a1f946271b723cf0928375001b,0,0,0,0,0,0,0,1,
1,0x0d7d9f39c9d64af4e47c868a3a21e1f773dab04b,0,0,0,0,0,0,0,1,
1,0x442129758dc87b2f140ae1f95fbbe680d3adf48e,0,0,0,0,0,0,0,1,
1,0xd98d62d263c77fa1f83642969520eab62788497a,0,0,0,0,0,0,0,1,
1,0xb660be565bf6df6dad87a2516a9441236f60bdb8,0,0,0,0,0,0,0,1,
1,0xcb4732e5abdd4d71645981560057704f96fd46e3,0,0,0,0,0,0,0,1,
1,0xc2a26f6cd627bacb88ad29a3a18ec0e2b5ed5bbd,0,0,0,0,0,0,0,1,
1,0x579d7b6d6aefb3ad424516ee3089a632e0ac42f8,0,0,0,0,0,0,0,1,
1,0xcb6a1ff7aabbe2afceb4f7c5a6ec7ded94506c50,0,0,0,0,0,0,0,1,
1,0x8aa956d3440770d8076f24ccc344e2ae2196f526,0,0,0,0,0,0,0,1,
1,0x4893da1c09228ab22d56c622b888eb9b5fa589d3,0,0,0,0,0,0,0,1,
1,0x5984381f5498a9bbde17552f06909e1d49dbc23d,0,0,0,0,0,0,0,1,
1,0x4ee9c4a41b2af01438a09c9af00e024b06b2658c,0,0,0,0,0,0,0,1,
1,0x9e9ddea1c3255654632913ac5c7687bd5c90f694,0,0,0,0,0,0,0,1,
1,0x0022cad56c8e5a4efe62b48a3f1c8a4f595c4405,0,0,0,0,0,0,0,1,
1,0x9dcaa39a7fb46f6d7281c636253473e43912dd04,0,0,0,0,0,0,0,1,
1,0xb40969f60bfa246a09593099dace2ddd543254a3,0,0,0,0,0,0,0,1,
1,0xdbd86ad8c2c517d304b579ab324875c726af4124,0,0,0,0,0,0,0,1,
1,0x552c9d1a55d0b504ecc212a2b408e1fc6df887b3,0,0,0,0,0,0,0,1,
1,0x971a06f1daa3b5d2856311b73c2b94103fc375db,0,0,0,0,0,0,0,1,
1,0x7b7eae6b80d1f801d47dfc6cdec8a0cb2cb52601,0,0,0,0,0,0,0,1,
1,0xedce28477d41a0a266a33ff7e8c4c323d7aa3448,0,0,0,0,0,0,0,1,
1,0xaeb60f5a21687716af3789b34babff4bc662c635,0,0,0,0,0,0,0,1,
1,0x6db0440b629b2dad41b3c48ebc61c96bd8dc96ed,0,0,0,0,0,0,0,1,
1,0x7b207d27ff26069e48ea631518a2e784a1460cb0,0,0,0,0,0,0,0,1,
1,0x6bc5782a69f43b16564adc87b4b4f5d4d6ac0eaf,0,0,0,0,0,0,0,1,
1,0x232027b240de8368d27ee807ecbd62744f09a6c9,0,0,0,0,0,0,0,1,
1,0x0e7fa051eb644ca1d3438222b8d2b6ff02293e68,0,0,0,0,0,0,0,1,
1,0xcc0710c15f90acb66bdd20a422310d20bb805c86,0,0,0,0,0,0,0,1,
1,0xc3eed344530665bfed41c3da668b3ad68ab2dd91,0,0,0,0,0,0,0,1,
1,0x6a78b5e8d8a688a6ba5827583bdda04353f29475,0,0,0,0,0,0,0,1,
